# N,BestEnergy,KnownMin,Gap,GapPercent,Hit,Time_s
136,-793.558014,-797.453259,3.895245,0.4885,0,293.040
137,-800.909469,-804.631473,3.722004,0.4626,0,296.883
138,-807.839540,-811.812780,3.973240,0.4894,0,300.705
139,-815.687177,-818.993848,3.306671,0.4037,0,303.737
140,-824.501349,-826.174676,1.673327,0.2025,0,307.995
141,-829.101528,-833.358586,4.257058,0.5108,0,312.126
142,-836.163925,-840.538610,4.374685,0.5205,0,316.077
143,-842.530905,-847.721698,5.190793,0.6123,0,318.942
144,-847.296120,-854.904499,7.608379,0.8900,0,323.916
145,-855.294937,-862.087012,6.792075,0.7879,0,326.989
146,-861.509502,-869.272573,7.763071,0.8931,0,332.397
147,-869.706500,-876.461207,6.754707,0.7707,0,334.718
148,-878.931075,-881.072971,2.141896,0.2431,0,339.604
149,-879.780807,-886.693405,6.912598,0.7796,0,344.026
150,-888.317058,-893.310258,4.993200,0.5590,0,347.846
